,Unnamed: 0,ID,url number,LOCATION,ACCIDENT Date,Accidents,Vehicle 1,Vehicle 2,Vehicle 3,hour,day,week,month,year,AM/PM,time_of_day,id,date,time,lat,lon,Division,District,Upazilla,Union
0,2,2,4,Chandpur,8/31/2020 22:47,2,bike,,,22,31,36,8,2020,PM,night,7,8/31/2020,22:47:00,23.2252149,90.7111818,Chattogram,Chandpur,Chandpur Sadar,
1,3,3,7,Jashore,9/1/2020 22:02,1,truck,,,22,1,36,9,2020,PM,night,,9/1/2020,22:02:00,23.1665256,89.2094419,Khulna,Jashore,,
2,6,8,20,Dhamrai,9/5/2020 22:42,3,bus,,,22,5,36,9,2020,PM,night,,9/5/2020,22:42:00,23.9183476,90.2142069,Dhaka,Dhaka,,
3,8,11,30,Madhabpur,9/7/2020 22:13,7,truck,car,,22,7,37,9,2020,PM,night,,9/7/2020,22:13:00,24.0957339,91.288801,Sylhet,Habiganj,Madhabpur,
4,9,12,30,Habiganj,9/7/2020 22:13,7,truck,car,,22,7,37,9,2020,PM,night,19,9/7/2020,22:13:00,24.3875279,91.412045,Sylhet,Habiganj,Habiganj Sadar,
5,10,13,31,Bagherpara,9/8/2020 22:00,6,truck,car,motorcycle,22,8,37,9,2020,PM,night,,9/8/2020,22:00:00,23.2419328,89.34465855,Khulna,Jashore,Bagherpara,
6,14,18,37,Barisal,9/9/2020 22:03,9,bus,,,22,9,37,9,2020,PM,night,3,9/9/2020,22:03:00,22.4934035,90.3548015,Barishal,Barisal,,
7,18,22,50,Dhaka,9/11/2020 22:02,3,auto,,,22,11,37,9,2020,PM,night,12,9/11/2020,22:02:00,23.7644025,90.389015,Dhaka,Dhaka,Dhaka,
8,21,26,61,Brahmanbaria,9/15/2020 22:01,1,motorcycle,auto,,22,15,38,9,2020,PM,night,6,9/15/2020,22:01:00,23.96059985,91.11908935,Chattogram,Brahmanbaria,Brahmanbaria Sadar,
9,22,27,63,Panchagarh,9/16/2020 22:01,2,bus,car,motorcycle,22,16,38,9,2020,PM,night,49,9/16/2020,22:01:00,26.32215705,88.54773094,Rangpur,Panchagarh,,
10,23,29,67,Khulna,9/17/2020 22:25,2,truck,,,22,17,38,9,2020,PM,night,26,9/17/2020,22:25:00,22.9372087,89.2852741,Khulna,Jashore,Manirampur,
11,24,30,68,Magura,9/18/2020 22:02,2,truck,bus,bike,22,18,38,9,2020,PM,night,33,9/18/2020,22:02:00,24.7840607,89.2538108,Rajshahi,Bogura,Kahaloo,
12,25,31,69,Magura,9/18/2020 22:02,4,bus,,,22,18,38,9,2020,PM,night,33,9/18/2020,22:02:00,24.7840607,89.2538108,Rajshahi,Bogura,Kahaloo,
13,26,32,73,Khulna,9/19/2020 22:03,3,bus,bike,motorcycle,22,19,38,9,2020,PM,night,26,9/19/2020,22:03:00,22.9372087,89.2852741,Khulna,Jashore,Manirampur,
14,27,33,74,Dhaka,9/20/2020 22:15,1,auto,,,22,20,38,9,2020,PM,night,12,9/20/2020,22:15:00,23.7644025,90.389015,Dhaka,Dhaka,Dhaka,
15,28,34,76,Jatrabari,9/21/2020 22:01,12,truck,bike,motorcycle,22,21,39,9,2020,PM,night,,9/21/2020,22:01:00,23.7093978,90.433806,Dhaka,Dhaka,Dhaka,
16,29,35,76,Dhaka,9/21/2020 22:01,12,truck,bike,motorcycle,22,21,39,9,2020,PM,night,12,9/21/2020,22:01:00,23.7644025,90.389015,Dhaka,Dhaka,Dhaka,
17,32,39,94,Bapta,9/26/2020 22:01,1,truck,motorcycle,,22,26,39,9,2020,PM,night,,9/26/2020,22:01:00,22.6987985,90.6546937,Barishal,Bhola,,
18,33,40,94,Bhola,9/26/2020 22:01,1,truck,motorcycle,,22,26,39,9,2020,PM,night,4,9/26/2020,22:01:00,22.1435694,90.79040887,Barishal,Bhola,,
19,34,43,97,Chapainawabganj,9/28/2020 22:01,3,car,,,22,28,40,9,2020,PM,night,44,9/28/2020,22:01:00,24.5954428,88.2707613,Rajshahi,Chapai Nawabganj,Nawabganj,
20,36,45,99,Bhola,9/29/2020 22:01,2,bus,motorcycle,rickshaw,22,29,40,9,2020,PM,night,4,9/29/2020,22:01:00,22.1435694,90.79040887,Barishal,Bhola,,
21,37,46,99,Bhola,9/29/2020 22:01,2,bus,motorcycle,rickshaw,22,29,40,9,2020,PM,night,4,9/29/2020,22:01:00,22.1435694,90.79040887,Barishal,Bhola,,
22,44,53,111,Burichang,10/3/2020 22:01,2,bus,,,22,3,40,10,2020,PM,night,,10/3/2020,22:01:00,23.5598424,91.1259324,Chattogram,Cumilla,Burichang,
23,46,55,112,Burichang,10/3/2020 22:02,2,bus,,,22,3,40,10,2020,PM,night,,10/3/2020,22:02:00,23.5598424,91.1259324,Chattogram,Cumilla,Burichang,
24,56,66,125,Khulna,10/8/2020 22:02,4,bus,rickshaw,auto,22,8,41,10,2020,PM,night,26,10/8/2020,22:02:00,22.9372087,89.2852741,Khulna,Jashore,Manirampur,
25,57,67,125,Dumuria,10/8/2020 22:02,4,bus,rickshaw,auto,22,8,41,10,2020,PM,night,,10/8/2020,22:02:00,22.8063328,89.417734,Khulna,Khulna,Dumuria,
26,59,69,128,Brahmanbaria,10/8/2020 22:02,3,bus,bike,,22,8,41,10,2020,PM,night,6,10/8/2020,22:02:00,23.96059985,91.11908935,Chattogram,Brahmanbaria,Brahmanbaria Sadar,
27,60,70,131,Islampur,10/8/2020 22:03,3,bus,bike,,22,8,41,10,2020,PM,night,,10/8/2020,22:03:00,25.0799567,89.791787,Mymensingh,Jamalpur,Islampur,
29,65,75,134,Panchagarh,10/9/2020 22:01,2,motorcycle,auto,,22,9,41,10,2020,PM,night,49,10/9/2020,22:01:00,26.32215705,88.54773094,Rangpur,Panchagarh,,
31,68,78,136,Islampur,10/9/2020 22:02,3,bus,bike,,22,9,41,10,2020,PM,night,,10/9/2020,22:02:00,25.0799567,89.791787,Mymensingh,Jamalpur,Islampur,
32,69,79,136,Brahmanbaria,10/9/2020 22:02,3,bus,bike,,22,9,41,10,2020,PM,night,6,10/9/2020,22:02:00,23.96059985,91.11908935,Chattogram,Brahmanbaria,Brahmanbaria Sadar,
33,70,80,139,Gazipur,10/10/2020 22:01,2,truck,rickshaw,auto,22,10,41,10,2020,PM,night,17,10/10/2020,22:01:00,23.9997558,90.4173629,Dhaka,Gazipur,,
35,76,86,150,Mithapukur,10/12/2020 22:02,1,truck,motorcycle,,22,12,42,10,2020,PM,night,,10/12/2020,22:02:00,25.5677701,89.2766893,Rangpur,Rangpur,Mithapukur,
36,77,87,150,Rangpur,10/12/2020 22:02,1,truck,motorcycle,,22,12,42,10,2020,PM,night,55,10/12/2020,22:02:00,25.7542471,89.0173233,Rangpur,Rangpur,,
37,78,88,152,Naogaon,10/15/2020 23:29,2,bus,bike,auto,23,15,42,10,2020,PM,night,39,10/15/2020,23:29:00,24.8073229,88.9445447,Rajshahi,Naogaon,Naogaon Sadar,
38,85,95,158,Naogaon,10/16/2020 22:01,2,bus,bike,auto,22,16,42,10,2020,PM,night,39,10/16/2020,22:01:00,24.8073229,88.9445447,Rajshahi,Naogaon,Naogaon Sadar,
39,86,96,160,Gopalganj,10/17/2020 22:02,4,truck,bike,rickshaw,22,17,42,10,2020,PM,night,18,10/17/2020,22:02:00,23.0049937,89.8303176,Dhaka,Gopalganj,Gopalganj Sadar,
