Date,Location,Death Number,Injured Number,Accident Time,Part of Day,Accident Vechile,Accident Type,News Text,News Link
2022-08-16,"['uttara', 'islampur', 'dhaka', 'gazipur', 'jamalpur']","[2.0, 12.0, 70.0, 15.0]","[3.0, 12.0]",['4:00pm'],['Afternoon'],"['Bus', 'bus', 'car']",vehicle-vehicle,"Crane drops heavy girder on car in Uttara; newlyweds lone survivors

Rescuers search for victims in the mangled remains of a car after a box girder of the under-construction Bus Rapid Transit line-3 fell on it in the capital’s Uttara yesterday afternoon. Traffic on the busy road was disrupted for hours after the accident, which claimed five lives. Photo: Rashed Shumon

""This is sheer negligence. There is a serious lacking of safety and traffic management in the project."" — Prof Hadiuzzaman of Buet.

The joys of the families of a newlywed couple were wiped out in the blink of an eye as a segment of a box girder fell on a car in the capital's Uttara yesterday, killing five including two children.

It happened at Jasimuddin Road intersection on Dhaka-Mymensingh highway around 4:00pm when a crane toppled while moving the precast concrete segment. The weight apparently was too much for the crane.

The groom's father Rubel Miah, 60, the bride's mother Fahima Begum, 37, aunt Jharna Begum, 26, and two children of Jharna -- Janatul, 6, and Zakaria, 4 -- died at the scene as more than half the car got crushed, police said, adding that they were from Jamalpur's Islampur upazila.

The newlyweds, Rezaul Karim Hridoy and Riya Moni, were taken to a hospital. Police said their injuries were not critical.

The groom's father Rubel, a businessman, was driving the car, said Rakib Hossain, a family member.

""Rubel's son got married on Saturday and the family in Kawla area [in Dakhhin Khan] was celebrating.""

The seven people in the car were going to the bride's home in Ashulia, said Mohammad Mohsin, officer-in-charge of Uttara West Police Station.

Dozens of precast girder segments like the one that caused the tragedy have been piled on the highway near Jasimuddin Road intersection.

The crane was lifting the segments from the pile and placing them on a tractor trailer on the busy highway.

Many have asked why traffic was not stopped during the activities and pointed out that this is the fourth serious accident at the BRT construction sites in one and a half years.

""Traffic should have been stopped at that time. But it was not done, a major failure."" — AKM Manir Hossain Pathan, chief engineer of RHD, one of the project implementing agencies

Prof Hadiuzzaman, director of the Accident Research Institute at Buet, said that not even the bare minimum safety measures were taken, adding that the authorities should have cordoned off the area to keep traffic from being exposed to the danger.

There should have been safety and traffic management plans as the construction site is on one of the busiest highways of the country.

""This is sheer negligence. They seriously lack safety and traffic management. We have not been able to ensure accountability,"" he told The Daily Star last night.

It should be investigated whether the crane was suitable to lift such a heavy load and if the operator had the skills and the licence.

Right after the accident, locals rescued the couple, witnesses said.

But firefighters, reaching the scene, tried in vain to rescue the others inside. Grieving family members gathered at the scene and broke down in tears.

Firefighters first tried to cut open a part of the car, which was pinned to the ground by the weight of the girder segment. They failed. Then another failed attempt was made to haul the box-girder segment away with an excavator.

After that, the excavator was used to right the crane and the girder segment moved away from the car, allowing the firefighters recover the bodies.

Accidents like this in the project are not unheard of. On July 15 this year, a construction worker of the BRT died after a crane fell on him in Chandana Chourasta area on the Dhaka-Mymensingh highway in Gazipur.

On March 14 last year, at least six workers, including three Chinese nationals, were injured as a part of a girder fell on them near Dhaka airport.

The Tk 4,268.38-crore project was taken up to build a 20.50km dedicated bus service road from Dhaka airport to Gazipur. The project was originally supposed to be complete at a cost of Tk 2,037.85 crore by December 2016. The latest deadline expired in June this year but the project made only 78 percent progress at the time. Officials have proposed setting the new deadline to December next year.

AKM Manir Hossain Pathan, chief engineer of Roads and Highways Department (RHD), which is one of the four implementing agencies of the project, said not halting traffic was a major fault.

There could have been an error in the crane operation, he said, adding that the operator fled the scene after the incident.

Asked whether the crane was capable of doing the work, he said the crane had been used for the task earlier.

Talking to this correspondent after last year's incident, a consultant engineer said the contractor -- China Gezhouba Group Co Ltd -- was not supposed to do loading, unloading and lifting of viaducts in daytime.

Asked about the matter, Shafiqul Islam, managing director of Dhaka Bus Rapid Company Ltd, which is another implementing agency of the project, said the contractor was working round the clock as the project was behind schedule.

About whether the probe committee formed after last year's incidents found a lack of safety measures at the site, he said the safety recommendations made by the committee were implemented.

About yesterday's accident, he said the investigation would reveal whether the crane was faulty or the operator made an error.

ABM Amin Ullah Nuri, secretary of road transport and highway division, said a five-member committee led by Additional Secretary Neelima Akhter was formed and asked to investigate the accident and come up with a preliminary report within today and a full report in two days.

Prime Minister Sheikh Hasina expressed deep shock at the tragedy, reports UNB.

In November 2012, 12 people died and many were injured in a similar incident at the construction site of a flyover in Bahaddarhat, Chittogram.

In March 2017, a 36-metre-long girder, weighing about 70 tonnes fell from the capital's Moghbazar-Malibagh Flyover and killed a worker.",https://www.thedailystar.net/news/bangladesh/accidents-fires/news/5-lives-lost-gross-neglect-3095806
2022-09-15,"['palash', 'chattogram']","[10.0, 4.0]","[10.0, 2.0]",['1:30am'],['Night'],['bus'],vehicle-human,"Four people were killed and 10 others, including two highway policemen, injured after being rammed by a covered van in Chattogram's Mirsarai upazila early Thursday.

The accident took place in the Sonapahar filling station area of the Dhaka-Chattogram Highway around 1:30am.

All the deceased Mehedi Hasan, Suman, Sheikh Farid, and Abul Kashem, hailed from different areas of Mirsarai upazila.

""Prior to the deadly accident, an accident took place on the busy highway involving a Chattogram-bound bus and a Dhaka-bound lorry,"" Zorarganj Highway Police Sub-Inspector Kamrul Hasan told The Business Standard.

""Following the previous accident, a team of highway police went to the spot as the drivers of two vehicles and passengers of the bus got into a heated debate although there were no casualties,"" he said.

At that time, a covered van rammed into the people gathered in the area, killing four on the spot and injuring 10 others, the police official said.

The injured, including Zorarganj Highway Police Assistant Sub-Inspector Md Mustafa, Constable Abdul Awal, pedestrians Rafiq and Sheikh Ahmed, were taken to Mirsarai Upazila Health Complex initially.

""Later, all of the injured were sent to Chattogram Medical College Hospital for better treatment,"" said Palash Kumar Dey, physician of Upazila Health Complex, adding that the condition of ASI Mustafa is critical.",https://www.tbsnews.net/bangladesh/4-killed-10-injured-chattogram-road-accident-496654
2022-10-08,[],[11.0],[],['5:15am'],['Morning'],"['bus', 'truck']",vehicle-vehicle,"This undated UNB photo shows the debris of a charred vehicle.

As many as 11 people were killed and 38 others injured after a bus caught fire following a collision with a truck in the western Indian state of Maharashtra early on Saturday morning.

The accident occurred on Aurangabad road in the state’s Nashik district at about 5:15am, police said.

‘Most of those killed were passengers of the bus, a sleeper coach. The inured have been shifted to the hospital for treatment,’ Amol Tambe, deputy commissioner of Nashik Police, told the local media.

Local TV channels reported that some of the bus passengers were charred to death while others lost their lives in the impact of the collision.

State chief minister Eknath Shinde announced a compensation of Rs 5 lakh for the families of each of the victims.

A probe has been ordered into the accident, the police officer said.

Road accidents are common in India, with one taking place every four minutes. These accidents are often blamed on poor roads, rash driving and scant regard for traffic laws.

The Indian government’s implementation of stricter traffic laws in recent years has failed to rein in accidents, which claim over 100,000 lives every year.",https://www.newagebd.net/article/183133/11-people-killed-as-bus-catches-fire-after-road-accident-in-india
2022-10-26,[],[2.0],[],[],[],['bus'],vehicle-human,"Road traffic injuries (RTIs) are among the leading causes of death and disability in Bangladesh, not to mention they are a huge economic burden. FILE PHOTO: STAR

In the month following the United Nations' High-Level Meeting of the General Assembly on Global Road Safety this summer, Bangladesh experienced one of its deadliest months on the road. Nearly 400 people were killed and almost twice that many injured in more than 300 road crashes during the Eid-ul-Azha holidays. That's the highest number of road deaths during the holiday festival since the country started collecting data in 2016.

Road traffic injuries (RTIs) are now the eighth leading cause of death worldwide, amounting to 1.35 million deaths and 50 million injuries each year. In Bangladesh, RTIs are among the leading causes of death and disability, killing approximately 25,000 people in 2016 and leaving 2.4 percent of road crash victims with a permanent disability, according to the Global Status Report on Road Safety.

In addition to their impact on public health and safety, RTIs are a major economic burden, costing the country approximately Tk 4,500 crore (USD 76 million) and accounting for approximately 1.5 percent of Bangladesh's GDP annually.

At its high-level meeting, the UN declared a second Decade of Action for Road Safety 2021-2030 to reach its Sustainable Development Goal (SDG) of a 50 percent reduction in RTIs and deaths worldwide. Bangladesh set similarly ambitious goals of reducing road traffic deaths and injuries by 20-25 percent by 2024 and 50 percent by 2030.

Yet, RTIs continue to climb in Bangladesh and around the world, though not for a lack of awareness.

The UN's first Decade of Action from 2011-2020 helped raise global awareness around the issue of road safety. In Bangladesh, a series of public protests in 2018 following the deaths of two students killed by a bus led to some modest improvements in how the country sought to address the epidemic of traffic injuries and deaths.

Yet, in Bangladesh and beyond, the decade was unable to decrease the number of RTIs, which is why we now find ourselves renewing efforts to solve this problem. Declaring action will not be enough this time; taking action is what we need now.

What's important to understand about this crisis is that nearly all of traffic-related injuries and deaths are preventable and predictable. But in order to prevent them, countries must prioritise road safety and implement evidence-based, systematic-level interventions that can save hundreds of thousands of lives.

The good news is we already know a great deal about what works.

In a series of papers published in The Lancet, one of us, together with colleagues, examined four risk factors – lack of helmet use, lack of seatbelt use, speeding, and drunk driving – that dramatically increase road fatalities. We found that if we implemented road safety interventions around these four key risks, up to 540,000 lives could be saved globally.

We also showed that improving emergency response and trauma care in low- and middle-income countries could save approximately 200,000 lives each year. In Bangladesh, RTIs are a major cause of admissions at primary- and secondary-level hospitals, accounting for about one in five injury-related admissions.

Though we have a growing body of evidence, fatalities continue to rise in lower-income countries while progress on road safety has slowed in higher-income countries. Why? Many countries and cultures remain in thrall to the automobile. As public health practitioners, we study how industry activities harm public health – what we call commercial determinants of health.

A vehicle-centric environment affects everything from our infrastructure choices and vehicle design to how we perceive so-called road traffic ""accidents."" Even the language we use to describe crashes is problematic. Calling something an ""accident"" connotes a blameless word that fails to account for predictable risks and generations of vehicle-centric policy decisions and design.

Like the Vision Zero campaign, which seeks to eliminate all traffic fatalities and severe injuries, we need a safety-first mentality that prioritises protecting people. Pedestrians, cyclists, and motorcyclists make up more than half of crash victims globally. In Bangladesh, motorcycles made up nearly half of all crashes this year so far, making it an especially dangerous mode of transportation.

Installing better street design and lighting, signage, pedestrian measures such as footpaths and crosswalks, while truly enforcing lower speed limits and helmet laws, would significantly improve road safety. In fact, the World Bank approved significant financing for Bangladesh's road safety project to accomplish comprehensive measures like these in order to help meet its SDGs on road safety by 2030.

These are steps in the right direction, but it is also necessary to establish a lead agency that can work to address the burden of RTIs. Further, continuous monitoring and evaluation of road safety measures are crucial to maintaining a safety-first approach. In this instance, what we don't know truly can hurt us.

It is long past time to rethink how we're trying to solve this problem and to learn from past failures. We believe that we can make the next 10 years safer. It will take meaningful political and financial commitments from all countries – Bangladesh included – to make that happen. To continue down the road we're currently on will only lead to more unnecessary loss of life and heartbreak.

Mohammad Khalaf is a doctoral candidate in the global health programme at Milken Institute School of Public Health, George Washington University.

Fazlur Rahman is executive director at the Centre for Injury Prevention and Research, Bangladesh (CIPRB).

Adnan A Hyder is director of the Center on Commercial Determinants of Health and professor of global health at Milken Institute School of Public Health, George Washington University.",https://www.thedailystar.net/opinion/views/news/beyond-awareness-new-decade-action-road-safety-3152826
2022-10-27,"['narail', 'dhaka', 'tularampur']",1,[],['8:00am'],['Morning'],"['car', 'motorcycle']",vehicle-vehicle,"A youth has been killed on Thursday in a road accident on the Narail-Jashore road in Gabtala area under sadar upazila of the district.

The victim is Swadhin Roy, son of Anshu Roy, resident of Bamanhat village of Tularampur union of the upazila.

He was a student of class 10 of Debipur Secondary School of the area.

‘The accident occurred when he was going to Tularampur Bazar on a motorcycle to buy sweets. On the way, a private car hit him coming from behind in the area at about 8:00am, leaving him critically injured,’ Sadar Police Station officer-in-charge Mahmudur Rahman said.

The locals rescued him and taken to Narail Sadar Hospital where the on-duty doctor declared him dead.

The private car fled after the accident, the OC added.",https://www.newagebd.net/article/184806/youth-killed-in-narail-road-accident
2022-11-04,"['chuadanga', 'alukdia']",[2.0],[2.0],['3:00am'],['Night'],['truck'],vehicle-human,"The UNB photo shows an animal carrying truck crashed into a roadside tree after lost its’ control at Alukdia area under Chuadanga sadar upazila on early Friday.

Two people were killed and two others were injured as a truck carrying the animals lost control and crashed into a roadside tree under Chuadanga sadar upazila on early Friday.

The deceased are the cattle trader Ashraful Haque, 50, and Monir Hossain, 45, from Meherpur district.

Two other were injured, Kalam, 40, and Minarul Islam, 41. They were admitted to Chuadanga sadar hospital.

Seven of the cattle also perished, police and fire service said.

The accident occurred at about 3:00am on Chuadanga-Meherpur regional road as the truck carrying 19 cattle lost control and hit a roadside tree near a filling station at Alukdia area, said deputy assistant director of Chuadanga fire service and civil defence Md Rafiquzzaman.

Chuadanga sadar police station officer-in-charge Mahabubur Rahman Kajal said that Ashraful died on the spot while Monir died under treatment at the hospital.",https://www.newagebd.net/article/185480/2-killed-2-injured-in-chuadanga-road-accident
2022-11-04,"['chuadanga', 'alukdia']",[2.0],[2.0],['3:00am'],['Night'],['truck'],vehicle-human,"The UNB photo shows an animal carrying truck crashed into a roadside tree after lost its’ control at Alukdia area under Chuadanga sadar upazila on early Friday.

Two people were killed and two others were injured as a truck carrying the animals lost control and crashed into a roadside tree under Chuadanga sadar upazila on early Friday.

The deceased are the cattle trader Ashraful Haque, 50, and Monir Hossain, 45, from Meherpur district.

Two other were injured, Kalam, 40, and Minarul Islam, 41. They were admitted to Chuadanga sadar hospital.

Seven of the cattle also perished, police and fire service said.

The accident occurred at about 3:00am on Chuadanga-Meherpur regional road as the truck carrying 19 cattle lost control and hit a roadside tree near a filling station at Alukdia area, said deputy assistant director of Chuadanga fire service and civil defence Md Rafiquzzaman.

Chuadanga sadar police station officer-in-charge Mahabubur Rahman Kajal said that Ashraful died on the spot while Monir died under treatment at the hospital.",https://www.newagebd.net/article/185480/2-killed-2-injured-in-chuadanga-road-accident
2022-11-12,"['bogura', 'dhaka', 'shahjahanpur']",[3.0],"[3.0, 4.0]",['8:30pm'],['Night'],"['auto-rickshaw', 'bus']",vehicle-vehicle,"An army personnel was killed and three others were injured when a bus hit a CNG-run auto-rickshaw at Lichutala of Shahjahanpur upazila in Bogura on Friday night.

The deceased was identified as Keramat Hossain, 45, a soldier of Majhira Cantonment of Bogura.

The accident took place at about 8:30pm when a Rangpur-bound Agamani Paribahan bus hit the CNG-run auto-rickshaw carrying five people, leaving four injured, said Abdullah Al Mamun, officer-in-charge of Shahjahanpur police station.

The injured were taken to Bogura’s Shaheed Ziaur Rahman Medical College and Hospital where doctors declared Keramat dead.

Keramat met the tragic incident while he, along with three of his family members, was going to Majhira by the CNG-run auto-rickshaw.

Police seized the bus but could not arrest its driver and his assistant.",https://www.newagebd.net/article/186226/army-member-killed-in-bogura-road-accident
2022-11-20,['dhaka'],[2018.0],[2018.0],[],[],['bus'],vehicle-human,"Victims of road accidents and their families are yet to get compensation as no fund has yet been established nor have the necessary rules been framed for it, even after the parliament enacted the Road Transport Act in 2018 with provisions for compensations.

A huge number of people in Bangladesh are becoming victims of road accidents every year.

Families of those killed in road accidents said that the government should look after them by providing compensations.

Road safety experts said that the state should become more sensitive to the plight of road accident victims as the death of the principal earner of a family puts the family into grave sufferings.

The appeals for compen- sations should be accommodated as soon as possible on humanitarian grounds, they added.

Against this backdrop, World Day of Remembrance for Road Traffic Victims is going to be observed in Bangladesh as elsewhere across the world today.

The ninth chapter of the RTA 2018 requires a financial assistance fund to be set up, and administered by a trustee board, for giving compensation or treatment cost to the dead and injured victims of road accidents.

The finance ministry gave its nod for the draft Road Transport Rules on November 2 this year and sent it to the Road Transport and Highways Division for next actions.

The finance ministry also approved the sources of the fund, including vehicle owners and different government bodies, while the trustee board would determine the amount of compensation.

Bangladesh Road Transport Authority chair Nur Mohammad Mazumder told New Age on Thursday that following the enactment of the law a trustee board was established but the fund was not set up as the rules were yet to be framed.

‘Once the rules are framed, the fund will be set up and we will start giving compensation to road accident victims after they apply for it,’ he added.

As per the statistics compiled by the police, 3,186 were killed and 3,500 others injured in 3,776 road accidents between January and August this year.

The number of fatalities in road accidents between January and September in the year was 5,043 while 8,387 people were injured in the accidents, according to the non-profit organistion Road Safety Foundation, which prepares reports based on media coverages.

The RSF report showed that among the total road fatalities in 2022 so far, 4,024 or 79.7 per cent, aged between 18 and 65 years, belonged to the working class.

Ismat Ara Ruma lost her husband Irfan Ahmed after he was allegedly thrown from a moving bus of Green Bangla Paribahan by the driver’s assistant following an argument over fare in the capital’s Wari area on January 20.

‘My husband was the only bread earner in my family in which I have an 11-year old speech-impaired daughter and an elderly mother-in-law,’ said Ismat, a homemaker, adding, ‘It is beyond my language how we are passing our days now at the mercy of others… It’s unbearable.’

She said that she got no compensation from anyone after her husband’s death.

‘I even don’t know where to go and ask for compensation,’ she said, urging the authorities to make compensation available for them.

Md Arafat Hossain lost his father Anwar Hossain on an August 9 road crash.

Anwar was driving a Green Line bus in Mirer Sarai area of Chattogram while his bus hit another vehicle.

‘My father was the main earner in our family and after he was dead I started a small business,’ he said, adding that they got only Tk 20,000 from the bus company but received nothing from anyone else.

As Dhaka University supernumerary sociology professor and RSF chair AI Mahbub Uddin Ahmed said, when the principal earner of a family dies or becomes physically impaired the family just loses all its prospects and dreams.

‘It’s the duty of the state to take care of the families of road accident victims and provide them with compensation by realising it from the parties concerned,’ he said, observing that it is not possible for the ordinary folks to realise compensation by themselves due to the complex administrative procedures involved.

Passenger Welfare Association of Bangladesh secretary general Mozammel Hoque Chowdhury said that as per their estimation 80 people on average were becoming physically impaired daily in road accidents.

‘The government needs to admit the severe impact of road accidents and work accordingly for the victims and their families,’ he added.

Jyotirmoy Barua, a Supreme Court lawyer and a RSF vice-president, said that the government should have incorporated in the RTA 2018 a provision for summary trials by district judges for a speedy disposal of compensations for road accident victims.

‘We are yet to have the RTA rule. What is the use of the law without rules as the victims cannot benefit from the law?’ he remarked.

The High Court verdicts and orders in recent years for compensating 33 families and persons which include 14 victims of road accidents, 17 of launch capsize and two of wrong trials are yet to be implemented, lawyers said.",https://www.newagebd.net/article/186915/compensation-for-road-accident-victims-elusive
2022-11-20,['dhaka'],[2018.0],[2018.0],[],[],['bus'],vehicle-human,"Victims of road accidents and their families are yet to get compensation as no fund has yet been established nor have the necessary rules been framed for it, even after the parliament enacted the Road Transport Act in 2018 with provisions for compensations.

A huge number of people in Bangladesh are becoming victims of road accidents every year.

Families of those killed in road accidents said that the government should look after them by providing compensations.

Road safety experts said that the state should become more sensitive to the plight of road accident victims as the death of the principal earner of a family puts the family into grave sufferings.

The appeals for compen- sations should be accommodated as soon as possible on humanitarian grounds, they added.

Against this backdrop, World Day of Remembrance for Road Traffic Victims is going to be observed in Bangladesh as elsewhere across the world today.

The ninth chapter of the RTA 2018 requires a financial assistance fund to be set up, and administered by a trustee board, for giving compensation or treatment cost to the dead and injured victims of road accidents.

The finance ministry gave its nod for the draft Road Transport Rules on November 2 this year and sent it to the Road Transport and Highways Division for next actions.

The finance ministry also approved the sources of the fund, including vehicle owners and different government bodies, while the trustee board would determine the amount of compensation.

Bangladesh Road Transport Authority chair Nur Mohammad Mazumder told New Age on Thursday that following the enactment of the law a trustee board was established but the fund was not set up as the rules were yet to be framed.

‘Once the rules are framed, the fund will be set up and we will start giving compensation to road accident victims after they apply for it,’ he added.

As per the statistics compiled by the police, 3,186 were killed and 3,500 others injured in 3,776 road accidents between January and August this year.

The number of fatalities in road accidents between January and September in the year was 5,043 while 8,387 people were injured in the accidents, according to the non-profit organistion Road Safety Foundation, which prepares reports based on media coverages.

The RSF report showed that among the total road fatalities in 2022 so far, 4,024 or 79.7 per cent, aged between 18 and 65 years, belonged to the working class.

Ismat Ara Ruma lost her husband Irfan Ahmed after he was allegedly thrown from a moving bus of Green Bangla Paribahan by the driver’s assistant following an argument over fare in the capital’s Wari area on January 20.

‘My husband was the only bread earner in my family in which I have an 11-year old speech-impaired daughter and an elderly mother-in-law,’ said Ismat, a homemaker, adding, ‘It is beyond my language how we are passing our days now at the mercy of others… It’s unbearable.’

She said that she got no compensation from anyone after her husband’s death.

‘I even don’t know where to go and ask for compensation,’ she said, urging the authorities to make compensation available for them.

Md Arafat Hossain lost his father Anwar Hossain on an August 9 road crash.

Anwar was driving a Green Line bus in Mirer Sarai area of Chattogram while his bus hit another vehicle.

‘My father was the main earner in our family and after he was dead I started a small business,’ he said, adding that they got only Tk 20,000 from the bus company but received nothing from anyone else.

As Dhaka University supernumerary sociology professor and RSF chair AI Mahbub Uddin Ahmed said, when the principal earner of a family dies or becomes physically impaired the family just loses all its prospects and dreams.

‘It’s the duty of the state to take care of the families of road accident victims and provide them with compensation by realising it from the parties concerned,’ he said, observing that it is not possible for the ordinary folks to realise compensation by themselves due to the complex administrative procedures involved.

Passenger Welfare Association of Bangladesh secretary general Mozammel Hoque Chowdhury said that as per their estimation 80 people on average were becoming physically impaired daily in road accidents.

‘The government needs to admit the severe impact of road accidents and work accordingly for the victims and their families,’ he added.

Jyotirmoy Barua, a Supreme Court lawyer and a RSF vice-president, said that the government should have incorporated in the RTA 2018 a provision for summary trials by district judges for a speedy disposal of compensations for road accident victims.

‘We are yet to have the RTA rule. What is the use of the law without rules as the victims cannot benefit from the law?’ he remarked.

The High Court verdicts and orders in recent years for compensating 33 families and persons which include 14 victims of road accidents, 17 of launch capsize and two of wrong trials are yet to be implemented, lawyers said.",https://www.newagebd.net/article/186915/compensation-for-road-accident-victims-elusive
